original,substituted,count
a,c,7
a,d,1
a,e,342
a,h,2
a,i,118
a,k,1
a,n,3
a,o,76
a,r,1
a,s,35
a,t,9
a,u,9
a,w,1
a,y,5
b,c,9
b,d,9
b,e,2
b,f,2
b,g,3
b,h,1
b,l,5
b,m,11
b,n,5
b,p,10
b,s,2
b,t,1
b,w,8
c,a,6
c,b,5
c,d,16
c,f,9
c,g,5
c,k,1
c,m,7
c,n,9
c,o,1
c,p,10
c,q,2
c,r,5
c,s,39
c,t,40
c,u,1
c,v,3
c,w,7
c,x,1
c,y,1
d,a,1
d,b,10
d,c,13
d,e,12
d,g,5
d,h,5
d,k,2
d,l,3
d,m,7
d,n,3
d,p,1
d,r,43
d,s,30
d,t,22
d,w,4
d,y,2
e,a,388
e,c,3
e,d,11
e,f,2
e,g,2
e,i,89
e,l,3
e,n,5
e,o,93
e,r,14
e,s,12
e,t,6
e,u,15
e,w,1
e,y,18
f,b,15
f,d,3
f,e,1
f,g,5
f,h,2
f,l,3
f,m,4
f,n,1
f,r,6
f,s,4
f,t,12
f,w,2
g,a,4
g,b,1
g,c,11
g,d,11
g,e,9
g,f,2
g,j,1
g,k,1
g,l,3
g,o,2
g,p,1
g,q,3
g,r,5
g,s,13
g,t,21
g,w,1
g,y,3
h,a,1
h,b,8
h,d,3
h,k,2
h,m,12
h,n,14
h,o,2
h,p,3
h,r,3
h,s,1
h,t,11
h,w,2
i,a,103
i,e,146
i,g,1
i,l,6
i,o,49
i,s,2
i,t,1
i,u,47
i,w,2
i,x,1
i,y,15
j,b,1
j,c,1
j,d,9
j,g,1
j,l,2
j,m,1
j,s,5
k,a,1
k,b,2
k,c,8
k,d,4
k,e,1
k,f,1
k,g,2
k,h,5
k,m,5
k,o,2
k,s,6
k,w,4
k,z,3
l,a,2
l,b,10
l,c,1
l,d,4
l,f,4
l,g,5
l,h,6
l,i,13
l,k,1
l,n,14
l,o,2
l,p,5
l,r,11
l,s,10
l,t,2
m,a,1
m,b,3
m,c,7
m,d,8
m,f,2
m,h,6
m,k,4
m,l,4
m,n,180
m,p,6
m,s,9
m,t,15
m,u,13
m,v,3
m,w,2
m,x,2
m,y,3
n,a,2
n,b,7
n,c,6
n,d,5
n,e,3
n,g,1
n,h,19
n,i,1
n,k,4
n,l,35
n,m,78
n,p,7
n,r,28
n,s,5
n,t,7
n,w,1
n,x,2
n,z,2
o,a,91
o,b,1
o,c,1
o,d,3
o,e,116
o,i,25
o,k,2
o,p,14
o,r,2
o,s,4
o,t,14
o,u,39
o,y,18
p,b,11
p,c,1
p,d,2
p,f,6
p,g,5
p,i,2
p,j,9
p,l,2
p,m,7
p,n,6
p,o,15
p,r,1
p,s,3
p,t,6
p,v,4
p,w,1
q,c,1
q,g,27
r,b,14
r,d,30
r,e,12
r,f,2
r,g,2
r,h,8
r,i,2
r,k,5
r,l,8
r,m,4
r,n,20
r,o,1
r,p,14
r,s,12
r,t,22
r,u,4
r,x,1
s,a,11
s,b,8
s,c,27
s,d,33
s,e,35
s,f,4
s,h,1
s,j,1
s,l,27
s,n,6
s,o,1
s,p,7
s,r,14
s,t,15
s,w,5
s,x,3
s,y,20
s,z,1
t,a,3
t,b,4
t,c,9
t,d,42
t,e,7
t,f,5
t,g,19
t,h,5
t,j,1
t,l,14
t,m,9
t,n,5
t,o,5
t,p,6
t,r,11
t,s,37
t,v,2
t,w,19
t,y,7
t,z,6
u,a,20
u,e,44
u,i,64
u,n,2
u,o,43
u,r,4
u,w,2
u,y,8
v,c,7
v,f,3
v,l,1
v,o,1
v,s,8
v,t,3
w,a,2
w,b,2
w,c,1
w,e,1
w,h,2
w,k,1
w,p,7
w,r,6
w,s,3
w,t,3
w,u,1
x,d,2
x,s,9
y,c,2
y,e,15
y,g,1
y,h,7
y,i,15
y,m,2
y,o,6
y,p,1
y,r,7
y,s,36
y,t,8
y,u,5
y,x,1
z,d,7
z,l,7
z,m,5
z,r,2
z,s,21
z,t,3
z,y,3
